2010 Census Tract,School Year,Grade Level,Count of Students
18,20012002,2,1
18,20022003,3,1
18,20032004,K,1
18,20032004,3,1
18,20032004,4,1
18,20042005,1,1
18,20042005,5,1
18,20052006,2,1
18,20052006,4,1
18,20062007,3,1
18,20072008,4,1
18,20082009,5,1
20,20012002,K,4
20,20012002,1,6
20,20012002,2,1
20,20012002,3,5
20,20012002,4,8
20,20012002,5,7
20,20022003,K,7
20,20022003,1,3
20,20022003,2,5
20,20022003,3,2
20,20022003,4,3
20,20022003,5,6
20,20032004,K,5
20,20032004,1,7
20,20032004,2,4
20,20032004,3,8
20,20032004,4,3
20,20032004,5,2
20,20042005,K,3
20,20042005,1,8
20,20042005,2,5
20,20042005,3,5
20,20042005,4,7
20,20042005,5,2
20,20052006,K,7
20,20052006,1,6
20,20052006,2,10
20,20052006,3,5
20,20052006,4,5
20,20052006,5,8
20,20062007,K,4
20,20062007,1,7
20,20062007,2,6
20,20062007,3,9
20,20062007,4,4
20,20062007,5,6
20,20072008,K,8
20,20072008,1,5
20,20072008,2,8
20,20072008,3,6
20,20072008,4,11
20,20072008,5,6
20,20082009,K,6
20,20082009,1,10
20,20082009,2,6
20,20082009,3,9
20,20082009,4,7
20,20082009,5,11
20,20092010,K,6
20,20092010,1,6
20,20092010,2,8
20,20092010,3,5
20,20092010,4,9
20,20092010,5,7
20,20102011,K,4
20,20102011,1,5
20,20102011,2,6
20,20102011,3,10
20,20102011,4,5
20,20102011,5,5
22,20012002,K,49
22,20012002,1,50
22,20012002,2,61
22,20012002,3,50
22,20012002,4,47
22,20012002,5,45
22,20022003,K,52
22,20022003,1,52
22,20022003,2,55
22,20022003,3,54
22,20022003,4,51
22,20022003,5,48
22,20032004,K,38
22,20032004,1,56
22,20032004,2,52
22,20032004,3,53
22,20032004,4,54
22,20032004,5,48
22,20042005,K,40
22,20042005,1,43
22,20042005,2,53
22,20042005,3,49
22,20042005,4,52
22,20042005,5,52
22,20052006,K,48
22,20052006,1,54
22,20052006,2,44
22,20052006,3,48
22,20052006,4,40
22,20052006,5,49
22,20062007,K,43
22,20062007,1,48
22,20062007,2,51
22,20062007,3,39
22,20062007,4,47
22,20062007,5,36
22,20072008,K,31
22,20072008,1,42
22,20072008,2,46
22,20072008,3,49
22,20072008,4,36
22,20072008,5,40
22,20082009,K,38
22,20082009,1,40
22,20082009,2,42
22,20082009,3,40
22,20082009,4,50
22,20082009,5,33
22,20092010,K,53
22,20092010,1,42
22,20092010,2,42
22,20092010,3,41
22,20092010,4,42
22,20092010,5,52
22,20102011,K,49
22,20102011,1,54
22,20102011,2,43
22,20102011,3,47
22,20102011,4,44
22,20102011,5,43
30,20012002,K,16
30,20012002,1,11
30,20012002,2,15
30,20012002,3,21
30,20012002,4,17
30,20012002,5,16
30,20022003,K,13
30,20022003,1,16
30,20022003,2,12
30,20022003,3,15
30,20022003,4,18
30,20022003,5,14
30,20032004,K,12
30,20032004,1,12
30,20032004,2,17
30,20032004,3,12
30,20032004,4,14
30,20032004,5,16
30,20042005,K,17
30,20042005,1,15
30,20042005,2,13
30,20042005,3,19
30,20042005,4,10
30,20042005,5,12
30,20052006,K,9
30,20052006,1,16
30,20052006,2,16
30,20052006,3,10
30,20052006,4,17
30,20052006,5,10
30,20062007,K,16
30,20062007,1,4
30,20062007,2,18
30,20062007,3,13
30,20062007,4,13
30,20062007,5,16
30,20072008,K,15
30,20072008,1,17
30,20072008,2,4
30,20072008,3,19
30,20072008,4,12
30,20072008,5,11
30,20082009,K,10
30,20082009,1,17
30,20082009,2,17
30,20082009,3,7
30,20082009,4,20
30,20082009,5,14
30,20092010,K,11
30,20092010,1,11
30,20092010,2,17
30,20092010,3,16
30,20092010,4,7
30,20092010,5,23
30,20102011,K,16
30,20102011,1,11
30,20102011,2,13
30,20102011,3,16
30,20102011,4,16
30,20102011,5,7
34,20012002,K,13
34,20012002,1,17
34,20012002,2,17
34,20012002,3,23
34,20012002,4,9
34,20012002,5,7
34,20022003,K,17
34,20022003,1,11
34,20022003,2,14
34,20022003,3,18
34,20022003,4,19
34,20022003,5,9
34,20032004,K,18
34,20032004,1,19
34,20032004,2,15
34,20032004,3,17
34,20032004,4,17
34,20032004,5,21
34,20042005,K,20
34,20042005,1,19
34,20042005,2,20
34,20042005,3,15
34,20042005,4,18
34,20042005,5,18
