2010_CT,AY,GL,Count
18,20012002,1,0.0
18,20012002,2,1.0
18,20012002,3,0.0
18,20012002,4,0.0
18,20012002,5,0.0
18,20012002,K,0.0
18,20022003,1,0.0
18,20022003,2,0.0
18,20022003,3,1.0
18,20022003,4,0.0
18,20022003,5,0.0
18,20022003,K,0.0
18,20032004,1,0.0
18,20032004,2,0.0
18,20032004,3,1.0
18,20032004,4,1.0
18,20032004,5,0.0
18,20032004,K,1.0
18,20042005,1,1.0
18,20042005,2,0.0
18,20042005,3,0.0
18,20042005,4,0.0
18,20042005,5,1.0
18,20042005,K,0.0
18,20052006,1,0.0
18,20052006,2,1.0
18,20052006,3,0.0
18,20052006,4,1.0
18,20052006,5,0.0
18,20052006,K,0.0
18,20062007,1,0.0
18,20062007,2,0.0
18,20062007,3,1.0
18,20062007,4,0.0
18,20062007,5,0.0
18,20062007,K,0.0
18,20072008,1,0.0
18,20072008,2,0.0
18,20072008,3,0.0
18,20072008,4,1.0
18,20072008,5,0.0
18,20072008,K,0.0
18,20082009,1,0.0
18,20082009,2,0.0
18,20082009,3,0.0
18,20082009,4,0.0
18,20082009,5,1.0
18,20082009,K,0.0
20,20012002,1,6.0
20,20012002,2,1.0
20,20012002,3,5.0
20,20012002,4,8.0
20,20012002,5,7.0
20,20012002,K,4.0
20,20022003,1,3.0
20,20022003,2,5.0
20,20022003,3,2.0
20,20022003,4,3.0
20,20022003,5,6.0
20,20022003,K,7.0
20,20032004,1,7.0
20,20032004,2,4.0
20,20032004,3,8.0
20,20032004,4,3.0
20,20032004,5,2.0
20,20032004,K,5.0
20,20042005,1,8.0
20,20042005,2,5.0
20,20042005,3,5.0
20,20042005,4,7.0
20,20042005,5,2.0
20,20042005,K,3.0
20,20052006,1,6.0
20,20052006,2,10.0
20,20052006,3,5.0
20,20052006,4,5.0
20,20052006,5,8.0
20,20052006,K,7.0
20,20062007,1,7.0
20,20062007,2,6.0
20,20062007,3,9.0
20,20062007,4,4.0
20,20062007,5,6.0
20,20062007,K,4.0
20,20072008,1,5.0
20,20072008,2,8.0
20,20072008,3,6.0
20,20072008,4,11.0
20,20072008,5,6.0
20,20072008,K,8.0
20,20082009,1,10.0
20,20082009,2,6.0
20,20082009,3,9.0
20,20082009,4,7.0
20,20082009,5,11.0
20,20082009,K,6.0
22,20012002,1,50.0
22,20012002,2,61.0
22,20012002,3,50.0
22,20012002,4,47.0
22,20012002,5,45.0
22,20012002,K,49.0
22,20022003,1,52.0
22,20022003,2,55.0
22,20022003,3,54.0
22,20022003,4,51.0
22,20022003,5,48.0
22,20022003,K,52.0
22,20032004,1,56.0
22,20032004,2,52.0
22,20032004,3,53.0
22,20032004,4,54.0
22,20032004,5,48.0
22,20032004,K,38.0
22,20042005,1,43.0
22,20042005,2,53.0
22,20042005,3,49.0
22,20042005,4,52.0
22,20042005,5,52.0
22,20042005,K,40.0
22,20052006,1,54.0
22,20052006,2,44.0
22,20052006,3,48.0
22,20052006,4,40.0
22,20052006,5,49.0
22,20052006,K,48.0
22,20062007,1,48.0
22,20062007,2,51.0
22,20062007,3,39.0
22,20062007,4,47.0
22,20062007,5,36.0
22,20062007,K,43.0
22,20072008,1,42.0
22,20072008,2,46.0
22,20072008,3,49.0
22,20072008,4,36.0
22,20072008,5,40.0
22,20072008,K,31.0
22,20082009,1,40.0
22,20082009,2,42.0
22,20082009,3,40.0
22,20082009,4,50.0
22,20082009,5,33.0
22,20082009,K,38.0
30,20012002,1,11.0
30,20012002,2,15.0
30,20012002,3,21.0
30,20012002,4,17.0
30,20012002,5,16.0
30,20012002,K,16.0
30,20022003,1,16.0
30,20022003,2,12.0
30,20022003,3,15.0
